split,signal,target_col,n_dates,mean_rank_ic,rank_ic_ir,plain_t,block_length,bootstrap_samples,block_boot_mean_ci_low,block_boot_mean_ci_high,block_boot_mean_se,block_boot_t,block_boot_p_mean_le_zero,newey_west_lag5_t,newey_west_lag5_se_mean,newey_west_lag21_t,newey_west_lag21_se_mean
discovery,mom_252d_skip_21d,target_excess_sector_fwd_5d,3526,0.0062008522736676204,0.12157457564828004,2.0632430102500083,5,10000,-0.0045465192202803865,0.016857703867312956,0.005524331172152742,1.1224620828173937,0.1343,1.1042235351133065,0.005615576988251151,1.0425840029237723,0.00594758048874551
test,mom_252d_skip_21d,target_excess_sector_fwd_5d,1111,0.02301726270279839,1.0113465873001541,4.221806729445061,5,10000,0.003959544817732932,0.041705752464722946,0.009538533460309483,2.4130819269623425,0.0087,2.354977196830289,0.009773879226422559,2.2418497925927103,0.010267085144977001
