date,net_return,turnover,equity_net
2022-02-15,0.0137048780340136,0.5,1.0137048780340137
2022-03-30,0.0030772050655249,0.4772727272727273,1.0168242558196474
2022-05-12,-0.0030911794586615,0.3810606060606061,1.013681069566989
2022-06-27,-0.0581329793633836,0.4909090909090908,0.9547527688687985
2022-08-09,0.0434584673180724,0.2977272727272727,0.9962448608715224
2022-09-21,0.0190959544781482,0.343939393939394,1.015269107383814
2022-11-02,-0.0205682638732901,0.3829004329004328,0.994386784480744
2022-12-15,-0.083340693514636,0.4946969696969696,0.91151390024033
2023-01-31,-0.0066558576302094,0.3871212121212121,0.9054469934923732
2023-03-15,0.0056791958517326,0.5882034632034632,0.910589204301779
2023-04-27,-0.0085510149003107,0.4136363636363636,0.9028027424477324
2023-06-09,-0.0294156285541398,0.4927489177489178,0.8762462323182312
2023-07-25,0.0461644449945652,0.2977272727272727,0.9166976533117812
2023-09-06,0.0160602844744017,0.4568181818181818,0.931420078400985
2023-10-18,-0.0198735963532418,0.3696969696969696,0.9129094117275388
2023-11-30,0.026903876711383,0.4272727272727272,0.9374702139893176
2024-01-16,0.0949845132159464,0.4507575757575758,1.026515365919542
2024-02-28,0.0190231698198235,0.3135281385281385,1.046042942048088
2024-04-11,0.0040150565493158,0.3158008658008658,1.0502428636134236
2024-05-23,0.0138729868288164,0.4178571428571428,1.064812869027391
2024-07-09,-0.0089476264967546,0.4382034632034631,1.0552853211863962
2024-08-20,0.0358919505657571,0.3046536796536796,1.0931615697671877
2024-10-02,0.0506900923881696,0.3722943722943723,1.1485740307338828
2024-11-13,-0.0012957588299012,0.4104978354978354,1.1470857557917642
2024-12-27,0.0677197070329736,0.4612554112554112,1.2247660671156797
2025-02-12,-0.0575709737632697,0.4562770562770563,1.1542550919996195
2025-03-27,0.0102681655764063,0.4866883116883116,1.1661071744016818
2025-05-09,0.0123988684940647,0.345021645021645,1.1805655839070737
2025-06-24,-0.0112967158711317,0.3772727272727272,1.167229069938439
2025-08-06,0.0076085667298985,0.3477272727272726,1.1761100102061428
2025-09-18,0.0060913460106044,0.2811688311688312,1.183274103224844
2025-10-30,0.0251304869323581,0.3594155844155843,1.2130103576133335
2025-12-12,0.0171435498116852,0.3768398268398268,1.2338056611011678
2026-01-28,0.0100446548339608,0.2994588744588745,1.246198813099116
2026-03-12,0.083863997973921,0.4090909090909091,1.3507100278359632
