date,rank_ic,n,split
2008-01-02,-0.10545670484308632,363,discovery
2008-01-03,-0.21159512438212838,365,discovery
2008-01-04,0.11913011488327041,365,discovery
2008-01-07,0.038618597203915916,366,discovery
2008-01-08,-0.1486789220081372,364,discovery
2008-01-09,-0.22415035045961498,364,discovery
2008-01-10,0.13027637779915804,364,discovery
2008-01-11,-0.06543701299908122,365,discovery
2008-01-14,-0.39106431596651453,365,discovery
2008-01-15,-0.19399416771807068,364,discovery
2008-01-16,-0.00597118309389041,366,discovery
2008-01-17,-0.20495591553077339,366,discovery
2008-01-18,-0.3016426931012708,364,discovery
2008-01-22,0.15455846835054107,363,discovery
2008-01-23,-0.00037766585004310514,366,discovery
2008-01-24,-0.25532794490003835,364,discovery
2008-01-25,-0.16259055210421475,365,discovery
2008-01-28,-0.04743412862283418,365,discovery
2008-01-29,-0.06737239028327352,365,discovery
2008-01-30,-0.15951117314972996,364,discovery
2008-01-31,0.20240905761621864,366,discovery
2008-02-01,-0.07209415456279199,366,discovery
2008-02-04,-0.038641242690236124,365,discovery
2008-02-05,-0.007542769712941229,365,discovery
2008-02-06,0.34682716099666144,363,discovery
2008-02-07,0.1261435462088699,365,discovery
2008-02-08,-0.05771829056880555,365,discovery
2008-02-11,0.09429029730587292,365,discovery
2008-02-12,0.1772458340789435,365,discovery
2008-02-13,-0.025235319145779308,364,discovery
2008-02-14,0.0398025931513972,364,discovery
2008-02-15,-0.08890609479983819,365,discovery
2008-02-19,0.02481854984189569,364,discovery
2008-02-20,-0.031010499539123118,364,discovery
2008-02-21,-0.08993478891233271,365,discovery
2008-02-22,-0.1037683474145071,364,discovery
2008-02-25,-0.12032552792861283,364,discovery
2008-02-26,0.3099819358501134,364,discovery
2008-02-27,-0.0020223458730927696,365,discovery
2008-02-28,0.018005540166218692,365,discovery
2008-02-29,-0.03272227188289374,365,discovery
2008-03-03,0.1888853654475215,365,discovery
2008-03-04,0.15118601877693363,366,discovery
2008-03-05,-0.236714318068781,365,discovery
2008-03-06,-0.029869379138045,366,discovery
2008-03-07,0.002070467459236935,365,discovery
2008-03-10,0.12617475584410767,365,discovery
2008-03-11,0.09586782570076828,365,discovery
2008-03-12,0.09224383799538069,366,discovery
2008-03-13,-0.000725715603926261,366,discovery
2008-03-14,-0.044612785444601524,366,discovery
2008-03-17,-0.18595342570209775,366,discovery
2008-03-18,-0.23946158382306706,364,discovery
2008-03-19,0.009312415933527062,365,discovery
2008-03-20,0.19599850674633626,365,discovery
2008-03-24,0.23525435009513107,365,discovery
2008-03-25,-0.06294414516666924,366,discovery
2008-03-26,0.12922510584382071,366,discovery
2008-03-27,-0.06367489858508381,365,discovery
2008-03-28,-0.21663913035447646,365,discovery
2008-03-31,-0.10674260776670547,366,discovery
2008-04-01,-0.005268842140950643,366,discovery
2008-04-02,0.10694038460360171,365,discovery
2008-04-03,-0.08607740723172862,365,discovery
2008-04-04,0.29194183896619014,366,discovery
2008-04-07,0.18169671370692456,366,discovery
2008-04-08,-0.02070998159716034,365,discovery
2008-04-09,0.03852179975201743,365,discovery
2008-04-10,0.14679392185785659,365,discovery
2008-04-11,-0.06969790352769167,365,discovery
2008-04-14,0.012757541843388377,366,discovery
2008-04-15,-0.12782422555104134,366,discovery
2008-04-16,0.02055170421104319,366,discovery
2008-04-17,0.14949827107141136,366,discovery
2008-04-18,0.21008842593769808,366,discovery
2008-04-21,0.011895005711808066,366,discovery
2008-04-22,-0.18503555319835246,368,discovery
2008-04-23,-0.018450062328945915,368,discovery
2008-04-24,-0.09533750207990743,368,discovery
2008-04-25,-0.1728594707943147,366,discovery
2008-04-28,0.17539272020368982,367,discovery
2008-04-29,-0.2664592727303649,366,discovery
2008-04-30,0.01519964401994274,366,discovery
2008-05-01,0.16738979188618433,366,discovery
2008-05-02,0.10823349554476419,368,discovery
2008-05-05,-0.02289525957032244,369,discovery
2008-05-06,0.21569175727800763,369,discovery
2008-05-07,-0.03835628609350199,369,discovery
2008-05-08,-0.10165416305487739,370,discovery
2008-05-09,0.11815788131732374,370,discovery
2008-05-12,-0.21221201609331056,370,discovery
2008-05-13,-0.08083183446719713,369,discovery
2008-05-14,0.09950577546669095,369,discovery
2008-05-15,-0.10048305855769592,369,discovery
2008-05-16,0.24310148238071952,369,discovery
2008-05-19,0.09487891427990773,368,discovery
2008-05-20,-0.11286419194474981,369,discovery
2008-05-21,0.26661782413033486,370,discovery
2008-05-22,-0.08051955150619258,368,discovery
2008-05-23,0.1414140244070926,369,discovery
2008-05-27,-0.11947227538676118,370,discovery
2008-05-28,0.16450405608914706,369,discovery
2008-05-29,0.08986560800376354,370,discovery
2008-05-30,0.023957561716485935,370,discovery
2008-06-02,-0.04472695582249333,371,discovery
2008-06-03,0.254568762021765,371,discovery
2008-06-04,0.1738153961675192,370,discovery
2008-06-05,0.22447634292665167,370,discovery
2008-06-06,-0.04557541700256511,370,discovery
2008-06-09,0.19574668348018115,370,discovery
2008-06-10,-0.08566441238199597,372,discovery
2008-06-11,0.091113106109246,371,discovery
2008-06-12,0.06934729093129477,371,discovery
2008-06-13,0.14765482739291405,371,discovery
2008-06-16,0.15765065498529546,372,discovery
2008-06-17,0.015703941712646573,371,discovery
2008-06-18,0.206742025628901,372,discovery
2008-06-19,0.29145275986972774,373,discovery
2008-06-20,-0.17163291339236536,372,discovery
2008-06-23,-0.05528977684129221,373,discovery
2008-06-24,0.09071241285529644,373,discovery
2008-06-25,0.07542346394862548,374,discovery
2008-06-26,0.1063518182325513,373,discovery
2008-06-27,0.032350028775462406,370,discovery
2008-06-30,-0.045688701843537634,372,discovery
2008-07-01,0.05793302136183244,372,discovery
2008-07-02,0.0701995846741081,373,discovery
2008-07-03,-0.15321800591377172,373,discovery
2008-07-07,0.21370213976844182,374,discovery
2008-07-08,0.2426336525704358,373,discovery
2008-07-09,0.275786414411308,373,discovery
2008-07-10,0.17283879110646724,374,discovery
2008-07-11,-0.08166302125454059,372,discovery
2008-07-14,-0.23444748213532104,373,discovery
2008-07-15,-0.32803038047287686,371,discovery
2008-07-16,-0.09550158496026669,373,discovery
2008-07-17,0.10057875298894475,373,discovery
