split,signal,target_col,n_dates,mean_rank_ic,rank_ic_ir,plain_t,block_length,bootstrap_samples,block_boot_mean_ci_low,block_boot_mean_ci_high,block_boot_mean_se,block_boot_t,block_boot_p_mean_le_zero,newey_west_lag5_t,newey_west_lag5_se_mean,newey_west_lag21_t,newey_west_lag21_se_mean,newey_west_lag63_t,newey_west_lag63_se_mean
discovery,mom_252d_skip_21d,target_excess_sector_fwd_1d,3526,0.0065792016628704215,0.5951704909187102,2.2262927599615967,21,10000,0.0013123071318132359,0.011886519357158086,0.0027177901690066597,2.420790882938211,0.0066,2.252714712653897,0.002920565851465293,2.4274055060379967,0.0027103842545075927,2.6272380306687104,0.0025042274761818283
test,mom_252d_skip_21d,target_excess_sector_fwd_1d,1115,0.02063446723409929,1.685084071911771,3.5445306556372516,21,10000,0.011508473030080563,0.029654476861356728,0.004652122402583268,4.435495339211457,0.0,3.934699486050117,0.005244229529410232,4.391856557107621,0.004698347262891639,5.230925401639884,0.003944706844343532
