book,split,sharpe_net,ann_ret_net,ann_vol_net,max_dd_net,avg_turnover,periods
momentum_only,discovery,-0.41531439270246273,-0.04517185587699284,0.10876544773733902,-0.5251222193858085,0.20872929006781699,706
momentum_only,test,0.5978386959936391,0.05502756738303041,0.09204417135850916,-0.14751948065118625,0.22372957372957372,222
reversal_only,discovery,0.03280553500029794,0.0026991204423570414,0.08227637324310157,-0.25881813069456394,0.8895644016040617,706
reversal_only,test,-0.5194125355080252,-0.0340580523551594,0.06557033190999241,-0.2162264404388251,0.8885247260247262,222
combined_inverse_vol,discovery,-0.2872929003404282,-0.01713035898946639,0.0596268093194373,-0.23736709561248148,0.5651091663420225,706
combined_inverse_vol,test,0.09412079180653342,0.005192246624267561,0.05516577712469849,-0.11556152668531916,0.5671520553250645,222
combined_equal,discovery,-0.3297422090686022,-0.020328048762901216,0.061648306469406444,-0.2692824597579555,0.5131024428828962,706
combined_equal,test,0.20112187063565606,0.011505703459881438,0.057207619549724975,-0.11698920561884374,0.5156134218634219,222
