date,gross_return,turnover,cost,net_return,n_positions,gross_exposure,net_exposure,equity_gross,equity_net
2022-02-15,0.04627932102391214,0.49999999999999994,0.00024999999999999995,0.04602932102391214,78,0.9999999999999999,-6.938893903907228e-18,1.046279321023912,1.0460293210239122
2022-03-30,0.00047056652379758577,0.4734848484848485,0.00023674242424242428,0.0002338240995551615,78,0.9999999999999997,6.938893903907228e-18,1.0467716650469276,1.046273907888009
2022-05-12,-0.0020481530012506416,0.47954545454545455,0.0002397727272727273,-0.002287925728523369,78,0.9999999999999998,3.469446951953614e-18,1.0446277165195377,1.0438801108950695
2022-06-27,-0.023106464653304133,0.4946969696969697,0.00024734848484848486,-0.02335381313815262,78,0.9999999999999999,1.0408340855860843e-17,1.0204900631119171,1.019501529846592
2022-08-09,0.041867870182702036,0.3977272727272727,0.00019886363636363634,0.0416690065463384,78,0.9999999999999999,1.0408340855860843e-17,1.0632158085970242,1.0619831457677715
2022-09-21,0.0072710758808887405,0.49621212121212116,0.0002481060606060606,0.00702296982028268,78,0.9999999999999998,-4.85722573273506e-17,1.0709465314190936,1.0694414213501473
2022-11-02,-0.02436974707232925,0.5011904761904761,0.0002505952380952381,-0.024620342310424488,80,1.0,0.0,1.044847835320422,1.0431114074755596
2022-12-15,-0.04957215636968613,0.553896103896104,0.000276948051948052,-0.04984910442163418,78,0.9999999999999999,1.734723475976807e-17,0.99305247504539,0.9911132380009127
2023-01-31,0.012201215146165907,0.6386363636363636,0.0003193181818181818,0.011881896964347726,80,0.9999999999999999,0.0,1.0051689219448514,1.0028895433748406
2023-03-15,-0.0014311031861738693,0.6764069264069263,0.0003382034632034632,-0.0017693066493773325,82,1.0,3.9898639947466563e-17,1.0037304214980132,1.0011151242371565
2023-04-27,0.0064084629991869885,0.5239177489177489,0.00026195887445887447,0.006146504124728114,80,1.0,0.0,1.0101627907653414,1.007268482477608
2023-06-09,-0.011117309151273787,0.5438311688311688,0.00027191558441558435,-0.011389224735689372,78,0.9999999999999999,1.734723475976807e-17,0.9989324987272897,0.9957964753614936
2023-07-25,0.04325211594502131,0.5378787878787878,0.00026893939393939396,0.04298317655108192,78,0.9999999999999999,1.734723475976807e-17,1.0421384429834921,1.0385989710709018
2023-09-06,0.005502380340388327,0.5719696969696969,0.00028598484848484844,0.005216395491903478,78,0.9999999999999999,2.0816681711721685e-17,1.0478726850641276,1.0440167140614918
2023-10-18,-0.01559979491161578,0.4871212121212121,0.00024356060606060606,-0.015843355517676384,80,1.0,-2.0816681711721685e-17,1.031526086083643,1.0274759860942193
2023-11-30,0.028030176912293293,0.49015151515151517,0.0002450757575757576,0.027785101154717537,78,0.9999999999999998,1.3877787807814457e-17,1.060439944766213,1.0560245103018902
2024-01-16,0.0717633378776637,0.5106060606060607,0.00025530303030303034,0.07150803484736067,80,1.0,0.0,1.1365406548214416,1.1315387477842247
2024-02-28,0.014022346879496715,0.39729437229437226,0.00019864718614718614,0.013823699693349529,78,0.9999999999999998,6.938893903907228e-18,1.1524776221259982,1.1471807996249828
2024-04-11,-0.0007916865346235622,0.3888528138528138,0.0001944264069264069,-0.000986112941549969,80,1.0,0.0,1.151565221111106,1.146049549792175
2024-05-23,0.017962467986525912,0.4871212121212121,0.00024356060606060606,0.017718907380465308,76,1.0,-3.469446951953614e-18,1.172250174529711,1.1663562956183666
2024-07-09,-0.013689123926224648,0.5465367965367965,0.0002732683982683983,-0.013962392324493046,80,1.0,6.938893903907228e-17,1.1562030966180352,1.1500711714288006
2024-08-20,0.030298796779923625,0.4601731601731602,0.00023008658008658007,0.030068710199837045,80,1.0,-6.938893903907228e-18,1.1912346592787835,1.1846523281916803
2024-10-02,0.036871461886348156,0.3988095238095238,0.0001994047619047619,0.036672057124443394,78,0.9999999999999998,2.0816681711721685e-17,1.235157222616078,1.2280959660437305
2024-11-13,0.00764299284070085,0.47413419913419913,0.00023706709956709956,0.00740592574113375,82,1.0,-1.0408340855860843e-17,1.2445975204256727,1.2371911535712363
2024-12-27,0.06977738570986372,0.49696969696969695,0.0002484848484848485,0.06952890086137888,78,0.9999999999999999,-6.938893903907228e-18,1.3314422816619549,1.3232116946344659
2025-02-12,-0.04930435544226593,0.47954545454545455,0.0002397727272727273,-0.04954412816953866,78,0.9999999999999999,1.0408340855860843e-17,1.2657963781560322,1.2576543248400633
2025-03-27,0.012801370708457322,0.5313852813852815,0.00026569264069264075,0.01253567806776468,80,1.0,0.0,1.2820003068342303,1.2734198745767904
2025-05-09,0.01253484677184712,0.49090909090909085,0.0002454545454545454,0.012289392226392575,80,1.0,-1.3877787807814457e-17,1.2980699842418584,1.289069430884348
2025-06-24,-0.014911607178774747,0.4962121212121212,0.0002481060606060606,-0.015159713239380807,78,1.0,1.3877787807814457e-17,1.2787136745462855,1.2695275079664894
2025-08-06,0.005294111222673804,0.4962121212121212,0.0002481060606060606,0.005046005162067743,82,1.0,1.734723475976807e-17,1.2854833269612875,1.2759335503250753
2025-09-18,0.012872052018518574,0.43614718614718606,0.00021807359307359305,0.012653978425444981,82,1.0,-2.7755575615628914e-17,1.3020301352148715,1.2920791859431902
2025-10-30,0.007443265752358867,0.4306277056277056,0.00021531385281385278,0.007227951899545015,82,1.0,0.0,1.3117214915288555,1.3014182721495908
2025-12-12,0.008912852400051055,0.4795454545454546,0.0002397727272727273,0.008673079672778328,82,1.0,-1.734723475976807e-17,1.323412671572827,1.3127055765115536
2026-01-28,-0.00943545006957405,0.36774891774891777,0.00018387445887445888,-0.009619324528448507,78,0.9999999999999999,-2.0816681711721685e-17,1.3109256773887599,1.300078235560785
2026-03-12,0.06932843766171179,0.5583333333333333,0.0002791666666666667,0.06904927099504513,78,0.9999999999999998,6.938893903907228e-18,1.4018101064927437,1.3898476899627819
