date,gross_return,turnover,cost,net_return,n_positions,gross_exposure,net_exposure,equity_gross,equity_net
2022-02-01,0.033172146840529,0.5000000000000001,0.00025000000000000006,0.032922146840529,74,1.0000000000000002,3.469446951953614e-17,1.033172146840529,1.032922146840529
2022-03-02,0.007761707631024444,0.4098484848484848,0.00020492424242424237,0.007556783388600202,72,1.0,-1.3877787807814457e-17,1.041191326976823,1.0407277157614907
2022-03-30,-0.004228543196663712,0.562121212121212,0.000281060606060606,-0.004509603802724318,72,1.0,2.7755575615628914e-17,1.0367886044747099,1.036034446096892
2022-04-28,-0.010243229387384475,0.5681818181818181,0.0002840909090909091,-0.010527320296475384,72,0.9999999999999999,0.0,1.0261685409728492,1.0251277796446485
2022-05-26,0.016257179009191918,0.49242424242424243,0.00024621212121212117,0.016010966887979795,72,1.0,-2.0816681711721685e-17,1.042851146637046,1.0415410665804872
2022-06-27,0.00043461711117715775,0.4416666666666666,0.0002208333333333333,0.00021378377784382445,70,0.9999999999999998,-3.469446951953614e-18,1.0433043875897852,1.04176373116448
2022-07-26,0.02487938069936001,0.478030303030303,0.0002390151515151515,0.02464036554784486,72,1.0,1.734723475976807e-17,1.0692611546339439,1.0674331703148596
2022-08-23,0.007840832887273847,0.4272727272727272,0.00021363636363636357,0.007627196523637483,72,1.0,6.938893903907228e-18,1.077645052660282,1.0755746928807004
2022-09-21,-0.007442554470264552,0.4689393939393938,0.00023446969696969692,-0.007677024167234248,72,1.0000000000000002,1.3877787807814457e-17,1.0696246206562467,1.0673174799697898
2022-10-19,-0.03824569528753107,0.49924242424242427,0.0002496212121212121,-0.038495316499652286,72,0.9999999999999999,-1.3877787807814457e-17,1.028716083342587,1.0262307557727415
2022-11-16,-0.009027556488008211,0.5113636363636364,0.00025568181818181815,-0.00928323830619003,74,1.0,2.42861286636753e-17,1.0194292907900893,1.0167040111097616
2022-12-15,-0.028330217617930788,0.5492424242424243,0.00027462121212121215,-0.028604838830052,74,1.0000000000000002,-3.469446951953614e-18,0.9905486371359132,0.9876213567340995
2023-01-17,-0.029976448823105205,0.668939393939394,0.00033446969696969696,-0.030310918520074902,72,0.9999999999999999,0.0,0.9608555066080119,0.9576856462614463
2023-02-14,0.026469257428790582,0.40075757575757576,0.0002003787878787879,0.026268878640911795,72,1.0,1.3877787807814457e-17,0.9862886383642904,0.9828429742792313
2023-03-15,-0.0028732999707713268,0.49772727272727274,0.00024886363636363637,-0.0031221636071349632,74,1.0,1.734723475976807e-17,0.9834547352485061,0.9797743777134085
2023-04-13,0.019123473673155814,0.32651515151515154,0.00016325757575757577,0.018960216097398237,74,1.0,3.469446951953614e-18,1.0022618059867714,0.9983511116415487
2023-05-11,-0.014348114710865598,0.5196969696969698,0.00025984848484848484,-0.014607963195714082,72,1.0,6.938893903907228e-18,0.9878812386241539,0.9837672353462886
2023-06-09,-0.013402455774220553,0.3946969696969697,0.00019734848484848487,-0.013599804259069037,72,1.0,1.3877787807814457e-17,0.9746412040133114,0.9703881935090936
2023-07-11,-0.014936432603633764,0.5280303030303031,0.00026401515151515154,-0.015200447755148916,72,1.0,1.734723475976807e-17,0.9600835413568422,0.9556378584714452
2023-08-08,0.01240190425605485,0.5356060606060606,0.0002678030303030303,0.01213410122575182,72,1.0,-4.163336342344337e-17,0.9719904055145637,0.9672336649812985
2023-09-06,0.010697774227821467,0.46742424242424246,0.00023371212121212125,0.010464062106609346,72,1.0,0.0,0.9823885394243671,0.9773548581232663
2023-10-04,0.002352303221370236,0.5151515151515151,0.00025757575757575756,0.0020947274637944783,74,1.0,2.42861286636753e-17,0.9846994151502921,0.9794021501864502
2023-11-01,-0.014506587431286324,0.5219696969696971,0.00026098484848484854,-0.014767572279771173,74,0.9999999999999999,0.0,0.9704147869908779,0.9649387581426084
2023-11-30,-0.02878478639053576,0.5060606060606061,0.000253030303030303,-0.029037816693566063,74,1.0,-3.122502256758253e-17,0.9424816046371283,0.936919043363146
2023-12-29,0.054702982758030747,0.4515151515151515,0.00022575757575757574,0.05447722518227317,74,1.0,-2.7755575615628914e-17,0.9940381596053542,0.9879597930660001
2024-01-30,0.03756642906051694,0.42954545454545456,0.0002147727272727273,0.03735165633324421,72,1.0,4.163336342344337e-17,1.0313806236116156,1.0248617277276644
2024-02-28,-0.0006626964066967823,0.5318181818181817,0.00026590909090909085,-0.0009286054976058732,70,1.0,3.469446951953614e-18,1.0306971313784115,1.0239100354930106
2024-03-27,-0.0129557598269347,0.6363636363636364,0.00031818181818181815,-0.013273941645116518,76,0.9999999999999999,-3.469446951953614e-18,1.0173436668899623,1.0103187134320273
