date,momentum_net_return,overlay_net_return,increment_net_return
2022-02-15,0.0137048780340136,0.0460293210239121,0.0323244429898985
2022-03-30,0.0030772050655249,0.0002338240995551,-0.0028433809659698
2022-05-12,-0.0030911794586615,-0.0022879257285233,0.0008032537301382002
2022-06-27,-0.0581329793633836,-0.0233538131381526,0.034779166225231
2022-08-09,0.0434584673180724,0.0416690065463384,-0.0017894607717340028
2022-09-21,0.0190959544781482,0.0070229698202826,-0.0120729846578656
2022-11-02,-0.0205682638732901,-0.0246203423104244,-0.004052078437134302
2022-12-15,-0.083340693514636,-0.0498491044216341,0.03349158909300189
2023-01-31,-0.0066558576302094,0.0118818969643477,0.0185377545945571
2023-03-15,0.0056791958517326,-0.0017693066493773,-0.0074485025011099
2023-04-27,-0.0085510149003107,0.0061465041247281,0.0146975190250388
2023-06-09,-0.0294156285541398,-0.0113892247356893,0.018026403818450498
2023-07-25,0.0461644449945652,0.0429831765510819,-0.0031812684434832997
2023-09-06,0.0160602844744017,0.0052163954919034,-0.0108438889824983
2023-10-18,-0.0198735963532418,-0.0158433555176763,0.0040302408355655
2023-11-30,0.026903876711383,0.0277851011547175,0.0008812244433344975
2024-01-16,0.0949845132159464,0.0715080348473606,-0.02347647836858581
2024-02-28,0.0190231698198235,0.0138236996933495,-0.005199470126474001
2024-04-11,0.0040150565493158,-0.0009861129415499,-0.0050011694908657
2024-05-23,0.0138729868288164,0.0177189073804653,0.003845920551648901
2024-07-09,-0.0089476264967546,-0.013962392324493,-0.005014765827738401
2024-08-20,0.0358919505657571,0.030068710199837,-0.0058232403659201
2024-10-02,0.0506900923881696,0.0366720571244433,-0.014018035263726303
2024-11-13,-0.0012957588299012,0.0074059257411337,0.008701684571034901
2024-12-27,0.0677197070329736,0.0695289008613788,0.0018091938284052062
2025-02-12,-0.0575709737632697,-0.0495441281695386,0.008026845593731104
2025-03-27,0.0102681655764063,0.0125356780677646,0.002267512491358299
2025-05-09,0.0123988684940647,0.0122893922263925,-0.00010947626767219935
2025-06-24,-0.0112967158711317,-0.0151597132393808,-0.0038629973682490996
2025-08-06,0.0076085667298985,0.0050460051620677,-0.0025625615678308003
2025-09-18,0.0060913460106044,0.0126539784254449,0.006562632414840499
2025-10-30,0.0251304869323581,0.007227951899545,-0.0179025350328131
2025-12-12,0.0171435498116852,0.0086730796727783,-0.008470470138906899
2026-01-28,0.0100446548339608,-0.0096193245284485,-0.019663979362409302
2026-03-12,0.083863997973921,0.0690492709950451,-0.014814726978875897
