date,gross_return,turnover,cost,net_return,n_positions,gross_exposure,net_exposure,equity_gross,equity_net
2022-01-10,-0.02095294937942967,0.49999999999999994,0.00024999999999999995,-0.02120294937942967,70,0.9999999999999999,-3.469446951953614e-18,0.9790470506205703,0.9787970506205703
2022-01-18,0.005035877227783203,0.23939393939393938,0.00011969696969696968,0.004916180258086234,68,0.9999999999999999,3.469446951953614e-18,0.9839774113677188,0.9836089933575041
2022-01-25,0.01921398603554928,0.33484848484848484,0.00016742424242424244,0.019046561793125038,70,0.9999999999999998,1.734723475976807e-17,1.002883539609034,1.0023433628297613
2022-02-01,-0.003311684185808356,0.20454545454545456,0.00010227272727272727,-0.0034139569130810835,66,1.0,1.734723475976807e-17,0.9995623060507033,0.9989214057769477
2022-02-08,0.01537242138927633,0.2462121212121212,0.00012310606060606059,0.01524931532867027,70,0.9999999999999999,2.7755575615628914e-17,1.0149279990241515,1.014154273282199
2022-02-15,0.0018620692870833684,0.21893939393939393,0.00010946969696969697,0.0017525995901136716,70,0.9999999999999999,6.938893903907228e-18,1.0168178652797355,1.0159316796458655
2022-02-23,0.022524374904054584,0.32954545454545453,0.00016477272727272727,0.022359602176781856,70,1.0,6.938893903907228e-18,1.0397210520864368,1.0386475078415367
2022-03-02,0.011033894121646879,0.20378787878787877,0.00010189393939393938,0.01093200018225294,70,0.9999999999999999,-6.938893903907228e-18,1.0511932240912059,1.050002002586557
2022-03-09,-0.007875077877983902,0.25530303030303036,0.00012765151515151517,-0.008002729393135417,72,1.0,0.0,1.0429149955866786,1.0415991206976065
2022-03-16,0.006524686695951403,0.2916666666666667,0.00014583333333333335,0.0063788533626180696,72,1.0,6.938893903907228e-18,1.049719689183391,1.0482433287511685
2022-03-23,-0.011529254506934771,0.253030303030303,0.0001265151515151515,-0.011655769658449923,70,0.9999999999999998,1.0408340855860843e-17,1.0376172037258553,1.0360252459652382
2022-03-30,0.008177341069235946,0.3212121212121212,0.00016060606060606063,0.008016735008629886,70,0.9999999999999997,-6.938893903907228e-18,1.0461021535000283,1.0443307858243922
2022-04-06,0.0051080584526062,0.25303030303030305,0.0001265151515151515,0.0049815433010910485,70,0.9999999999999999,3.469446951953614e-18,1.0514457044475036,1.0495331648546389
2022-04-13,-0.012531511711351799,0.1393939393939394,6.96969696969697e-05,-0.012601208681048769,68,0.9999999999999998,2.0816681711721685e-17,1.0382695002883693,1.0363077784266241
2022-04-21,-0.002019881253892727,0.22575757575757574,0.00011287878787878787,-0.0021327600417715147,70,0.9999999999999998,3.469446951953614e-18,1.0361723191882481,1.0340975826058187
2022-04-28,-0.0049737262906450206,0.17424242424242425,8.712121212121214e-05,-0.0050608475027662326,70,0.9999999999999999,1.734723475976807e-17,1.031018681682663,1.0288641724372716
2022-05-05,-0.0033606674183498733,0.20227272727272724,0.00010113636363636363,-0.003461803781986237,68,0.9999999999999999,1.734723475976807e-17,1.027553770791422,1.0253024465539782
2022-05-12,-0.013858193294568494,0.1659090909090909,8.295454545454544e-05,-0.01394114784002304,68,0.9999999999999999,1.734723475976807e-17,1.0133137320152317,1.0110085535658317
2022-05-19,0.006622235612435776,0.2053030303030303,0.00010265151515151513,0.0065195840972842615,70,0.9999999999999998,0.0,1.020024134297953,1.0175999088538779
2022-05-26,-0.008124798445990592,0.20606060606060606,0.00010303030303030303,-0.008227828749020895,70,0.9999999999999998,1.3877787807814457e-17,1.0117366437967361,1.0092272710688088
2022-06-03,0.010416097351998997,0.22575757575757574,0.00011287878787878787,0.010303218564120208,68,1.0,-3.469446951953614e-18,1.0222749911731075,1.0196255602235014
2022-06-10,0.0012073533101515336,0.2712121212121211,0.00013560606060606056,0.001071747249545473,68,0.9999999999999999,-1.734723475976807e-17,1.0235092382675854,1.020718341113237
2022-06-17,-0.015077984107263161,0.1939393939393939,9.696969696969695e-05,-0.015174953804232859,70,0.9999999999999998,3.469446951953614e-18,1.0080767822393497,1.0052289874397105
2022-06-27,-0.003195927721081359,0.15454545454545454,7.727272727272727e-05,-0.0032732004483540865,70,0.9999999999999999,-1.0408340855860843e-17,1.0048550417060125,1.0019386714673242
2022-07-05,0.006503162962017637,0.15227272727272725,7.613636363636362e-05,0.006427026598381274,70,0.9999999999999998,3.469446951953614e-18,1.0113897777954317,1.0083781579587914
2022-07-12,-0.020556100841724514,0.16818181818181818,8.40909090909091e-05,-0.020640191750815422,70,0.9999999999999999,-6.938893903907228e-18,0.9905995475327795,0.9875650394211879
2022-07-19,0.0008110745386643839,0.18409090909090908,9.204545454545454e-05,0.0007190290841189293,68,0.9999999999999999,0.0,0.9914029976037958,0.9882751274069909
2022-07-26,-0.009324022946935712,0.2674242424242424,0.0001337121212121212,-0.009457735068147833,70,0.9999999999999998,1.0408340855860843e-17,0.9821591333044772,0.9789282830775354
2022-08-02,-0.005820179798386314,0.20454545454545453,0.00010227272727272727,-0.0059224525256590405,68,0.9999999999999999,2.7755575615628914e-17,0.9764427905580179,0.9731306267949839
2022-08-09,0.005703988942232998,0.17045454545454547,8.522727272727273e-05,0.005618761669505726,68,1.0,-1.3877787807814457e-17,0.9820124094380839,0.9785984158602417
2022-08-16,0.02403611947189678,0.16893939393939392,8.446969696969696e-05,0.023951649774927083,70,0.9999999999999999,-6.938893903907228e-18,1.005616177034223,1.0020374623872246
2022-08-23,-0.0012074209072373138,0.22196969696969696,0.00011098484848484848,-0.0013184057557221623,70,0.9999999999999999,0.0,1.0044019750374156,1.000716370429364
2022-08-30,-0.008543981295643429,0.14924242424242423,7.46212121212121e-05,-0.00861860250776464,70,0.9999999999999999,-1.0408340855860843e-17,0.9958203833493886,0.9920915938096203
2022-09-07,-0.002632297033613378,0.18106060606060606,9.053030303030303e-05,-0.0027228273366436814,72,1.0,6.938893903907228e-18,0.9931990883082863,0.9893902996975411
2022-09-14,0.0164516726678068,0.18106060606060606,9.053030303030303e-05,0.016361142364776496,72,1.0,-6.938893903907228e-18,1.0095388746030984,1.0055778552452215
2022-09-21,0.0006336990179437573,0.06893939393939394,3.4469696969696974e-05,0.0005992293209740603,72,1.0,1.3877787807814457e-17,1.0101786183965105,1.0061804269806065
2022-09-28,0.007616117370851112,0.1712121212121212,8.56060606060606e-05,0.007530511310245052,70,0.9999999999999998,1.0408340855860843e-17,1.0178722573197425,1.013757480066131
2022-10-05,0.004937208421302564,0.19999999999999998,9.999999999999999e-05,0.004837208421302564,68,0.9999999999999999,0.0,1.0228977048003918,1.0186612362858656
2022-10-12,-0.011910552237973071,0.2128787878787879,0.00010643939393939394,-0.012016991631912464,72,1.0,-4.163336342344337e-17,1.0107144282532639,1.0064199927336648
2022-10-19,-0.0035554597775141394,0.26363636363636356,0.00013181818181818178,-0.003687277959332321,68,0.9999999999999999,0.0,1.007120873757056,1.0027090424766265
2022-10-26,0.010036351373701388,0.33030303030303027,0.00016515151515151513,0.009871199858549872,70,0.9999999999999999,-1.0408340855860843e-17,1.017228692721871,1.0126069838348886
2022-11-02,-0.03490491048856215,0.3439393939393939,0.00017196969696969691,-0.03507688018553185,72,1.0,-1.3877787807814457e-17,0.981722416256017,0.9770878899878793
2022-11-09,-0.008664723417975686,0.2303030303030303,0.00011515151515151514,-0.0087798749331272,70,0.9999999999999999,1.734723475976807e-17,0.9732160630459318,0.9685091805151126
2022-11-16,0.0024166677937363127,0.18257575757575759,9.128787878787879e-05,0.002325379914948434,70,0.9999999999999999,3.469446951953614e-18,0.9755680029618417,0.9707613323109257
2022-11-23,-0.011613988334482366,0.2621212121212121,0.00013106060606060606,-0.011745048940542973,70,0.9999999999999998,1.0408340855860843e-17,0.9642377675559486,0.9593596929533471
2022-12-01,-0.000611480709278221,0.20909090909090913,0.00010454545454545456,-0.0007160261638236756,70,0.9999999999999999,-1.3877787807814457e-17,0.9636481547619307,0.9586727663126746
2022-12-08,0.002887667941324639,0.2568181818181818,0.0001284090909090909,0.002759258850415548,72,1.0,6.938893903907228e-18,0.9664308506451532,0.9613179926277752
2022-12-15,0.0011444134694157224,0.27651515151515155,0.00013825757575757579,0.0010061558936581465,70,0.9999999999999999,1.734723475976807e-17,0.9675368471278903,0.9622852283917371
2022-12-22,-0.017185082534948985,0.23257575757575755,0.00011628787878787876,-0.017301370413736864,72,1.0,-1.3877787807814457e-17,0.9509096465543933,0.9456363752116642
2022-12-30,-0.014852621067654002,0.11742424242424242,5.87121212121212e-05,-0.014911333188866123,70,0.9999999999999998,1.734723475976807e-17,0.9367861459045441,0.9315356761453715
2023-01-09,-0.012574408542026174,0.2992424242424242,0.0001496212121212121,-0.012724029754147386,72,1.0,6.938893903907228e-18,0.9250066141894302,0.9196827884850479
2023-01-17,-0.01209924884817817,0.23787878787878788,0.00011893939393939394,-0.012218188242117563,72,1.0,-2.7755575615628914e-17,0.9138147289781415,0.9084459310523021
2023-01-24,-0.015722500465132974,0.20681818181818185,0.00010340909090909092,-0.015825909556042066,72,1.0,1.3877787807814457e-17,0.8994472764767373,0.894068947910914
2023-01-31,-0.014680807924631872,0.32803030303030306,0.00016401515151515155,-0.014844823076147023,70,1.0,0.0,0.886242663772449,0.8807966525612996
2023-02-07,-0.002190303215474794,0.3424242424242424,0.0001712121212121212,-0.002361515336686915,70,0.9999999999999999,3.469446951953614e-17,0.8843015236162973,0.8787166377577735
2023-02-14,0.004691603508862583,0.25757575757575757,0.00012878787878787878,0.004562815630074705,70,0.9999999999999999,6.938893903907228e-18,0.8884503157473882,0.8827260597669414
2023-02-22,0.008875377972920737,0.2886363636363637,0.00014431818181818184,0.008731059791102556,72,1.0,0.0,0.896335648109807,0.8904331937739309
2023-03-01,0.0020905256271362303,0.23257575757575757,0.00011628787878787879,0.0019742377483483514,72,1.0,0.0,0.8982094607526964,0.8921911205974618
2023-03-08,-0.0044449719064163454,0.4,0.0002,-0.004644971906416345,72,1.0,6.938893903907228e-18,0.8942169449335733,0.8880469179071324
2023-03-15,0.0059903028787988595,0.18106060606060606,9.053030303030303e-05,0.005899772575768556,72,1.0,0.0,0.8995735752730796,0.8932861927593967
2023-03-22,-0.009258655165181016,0.18484848484848485,9.242424242424242e-05,-0.009351079407605259,70,0.9999999999999998,-6.938893903907228e-18,0.8912447337439171,0.8849330026371862
2023-03-29,-0.006967767756996732,0.12424242424242424,6.212121212121213e-05,-0.0070298889691179445,70,0.9999999999999999,1.0408340855860843e-17,0.8850347474245431,0.8787120218835387
2023-04-05,0.009638937765901738,0.2303030303030303,0.00011515151515151514,0.009523786250750224,72,1.0,6.938893903907228e-18,0.8935655422756288,0.887080687355922
2023-04-13,0.004130245835492105,0.2977272727272727,0.00014886363636363632,0.003981382199128468,72,1.0,1.3877787807814457e-17,0.897256187635352,0.8906124946137515
2023-04-20,-0.0035177655292279782,0.228030303030303,0.0001140151515151515,-0.0036317806807431297,72,1.0,-6.938893903907228e-18,0.8940998507476018,0.8873779853617848
2023-04-27,-0.007005730135874314,0.18333333333333335,9.166666666666667e-05,-0.007097396802540981,72,1.0,-2.0816681711721685e-17,0.8878360284787385,0.8810799116858329
2023-05-04,0.014746262268586594,0.2522727272727273,0.00012613636363636367,0.01462012590495023,72,1.0,1.3877787807814457e-17,0.9009282914061864,0.8939614109270023
2023-05-11,-0.004368610364018065,0.225,0.0001125,-0.004481110364018065,72,1.0,0.0,0.8969924867351122,0.8899554711834651
2023-05-18,-0.0014183518561449939,0.14848484848484847,7.424242424242423e-05,-0.001492594280387418,72,1.0000000000000002,-6.938893903907228e-18,0.8957202357766033,0.8886271287373771
2023-05-25,0.0022823179310018362,0.2,0.0001,0.0021823179310018364,72,1.0,5.551115123125783e-17,0.8977645541318775,0.8905663956543954
2023-06-02,-0.011601774529977278,0.27424242424242423,0.00013712121212121212,-0.01173889574209849,70,0.9999999999999999,3.469446951953614e-18,0.887348892193834,0.880112129584392
2023-06-09,0.0006150564912593727,0.3113636363636363,0.00015568181818181816,0.00045937467307755454,70,0.9999999999999998,1.3877787807814457e-17,0.8878946618899897,0.8805164308061915
2023-06-16,0.005035120790654963,0.18939393939393942,9.469696969696971e-05,0.004940423820957994,72,1.0,-1.3877787807814457e-17,0.8923653187619834,0.8848665551556913
2023-06-26,-0.0023371688795812196,0.2886363636363636,0.0001443181818181818,-0.0024814870613994013,72,1.0,0.0,0.8902797103097554,0.8826707702480074
2023-07-03,-0.006168743245529406,0.15606060606060607,7.803030303030302e-05,-0.006246773548559709,72,1.0000000000000002,-3.469446951953614e-18,0.8847878033601502,0.8771569258283354
2023-07-11,0.004562786266659245,0.24166666666666667,0.00012083333333333332,0.004441952933325912,72,1.0,-1.0408340855860843e-17,0.8888249009982295,0.8810532156080058
2023-07-18,-0.01062637274012421,0.2287878787878788,0.0001143939393939394,-0.01074076667951815,72,1.0,-1.0408340855860843e-17,0.8793799162995183,0.8715900285869209
2023-07-25,0.009861966380567262,0.1712121212121212,8.56060606060606e-05,0.009776360319961201,72,1.0,6.938893903907228e-18,0.8880523314698102,0.880111006757672
2023-08-01,0.010294741301825549,0.18181818181818182,9.090909090909092e-05,0.010203832210916457,72,1.0,1.3877787807814457e-17,0.897194600484775,0.8890915117976079
2023-08-08,0.008383346958593888,0.16893939393939392,8.446969696969696e-05,0.00829887726162419,72,1.0,6.938893903907228e-18,0.9047160941100159,0.8964699731283682
2023-08-15,-0.0008425305738593591,0.125,6.25e-05,-0.0009050305738593591,72,1.0,6.938893903907228e-18,0.9039538431400655,0.8956586403941401
2023-08-22,-0.00491283576596867,0.15,7.5e-05,-0.004987835765968671,72,1.0,-1.3877787807814457e-17,0.8995128663687022,0.8911912421934834
2023-08-29,0.01840344346833952,0.15000000000000002,7.500000000000001e-05,0.01832844346833952,72,1.0,0.0,0.9160670005539627,0.907525390495506
2023-09-06,-0.0035604534275604028,0.2287878787878788,0.0001143939393939394,-0.003674847366954342,72,1.0,-1.3877787807814457e-17,0.9128053866619654,0.9041903732037994
2023-09-13,0.003626834714051448,0.20227272727272727,0.00010113636363636363,0.0035256983504150844,72,1.0,1.3877787807814457e-17,0.9161159809254841,0.9073782757110652
2023-09-20,0.0049981398112846145,0.14924242424242423,7.46212121212121e-05,0.004923518599163402,72,1.0,0.0,0.9206948566815017,0.9118457695280054
2023-09-27,0.010057321958469622,0.22499999999999998,0.0001125,0.009944821958469623,70,0.9999999999999999,2.0816681711721685e-17,0.9299545812806547,0.9209139133595452
2023-10-04,0.0037835030393166963,0.13863636363636364,6.931818181818182e-05,0.0037141848574985146,70,0.9999999999999999,2.0816681711721685e-17,0.9334730672653565,0.9243343578716048
2023-10-11,-0.008100602121064157,0.23106060606060605,0.00011553030303030303,-0.00821613242409446,72,1.0,-4.163336342344337e-17,0.9259113733567105,0.9167399043831913
2023-10-18,-0.0023330482118057486,0.17045454545454544,8.522727272727272e-05,-0.0024182754845330215,74,1.0,-2.7755575615628914e-17,0.92375117748281,0.9145229747467283
2023-10-25,0.009088037501681936,0.20075757575757572,0.00010037878787878787,0.008987658713803148,72,1.0,1.3877787807814457e-17,0.9321462628259967,0.9227423951296839
2023-11-01,0.0034683223023559123,0.25757575757575757,0.00012878787878787878,0.0033395344235680334,74,1.0,0.0,0.9353792464984139,0.9258239251223052
