signal,universe,rows,dates,symbols,mean_names_per_date,mean_rank_ic,rank_ic_ir,rank_ic_ir_raw,sharpe_net,ann_return_net,max_drawdown_net,avg_turnover
momentum,current_membership,491964,1100,501,447.24,0.023449047731332544,1.0135615431743796,2.0540871016258597,0.6204334221375484,0.05860276827642741,-0.14595981806210534,0.2208948248720976
momentum,pit_inclusion,458355,1100,501,416.68636363636364,0.017356903713742097,0.7566748439881489,1.5449813227494658,0.4606459589661574,0.03928271248144355,-0.17294645734343306,0.22093467138921688
route_b_overlay,current_membership_post_training,492054,1100,501,447.3218181818182,-0.00031621094869829303,0.09460928313359036,-0.08514777480675388,0.6450556439441401,0.05809018632985738,-0.12064721753680663,0.32337809917355376
route_b_overlay,pit_inclusion_post_training,463670,1100,501,421.5181818181818,-0.0030821818195853642,-0.22186792592515006,-0.7130277055064,0.5176875109858187,0.04288209420328297,-0.12263107879750657,0.33017512790240067
