horizon_days,target_col,n_periods,annualization_rebalances_per_year,rank_ic,rank_ic_ir,rank_ic_ir_raw,sharpe_net,ann_return_net,ann_vol_net,max_drawdown_net,avg_turnover,mean_return_t_stat,bootstrap_samples,bootstrap_sharpe_ci_2p5,bootstrap_sharpe_ci_97p5,bootstrap_prob_sharpe_positive
5,target_excess_sector_fwd_5d,220,50.4,0.02344556582384263,1.016317402260233,2.0533058443645986,0.6267767948179706,0.05924762369817939,0.09452746845032671,-0.14595981806210656,0.22120966155057062,1.3095104889118225,20000,-0.3186776385581324,1.6266305182351823,0.90595
20,target_excess_sector_fwd_20d,53,12.6,0.030034428025319408,0.595959830364255,3.0466254357774307,0.8218504761927425,0.07831614179465618,0.09529244559988236,-0.10754432316167029,0.3559625908682513,1.685564878169125,20000,-0.11717548874504295,1.904119478279706,0.9547
30,target_excess_sector_fwd_30d,35,8.4,0.028235606386607506,0.6983504830371163,3.0421385615552983,0.7402730583849103,0.07779627145982718,0.10509131809932244,-0.13825203588214796,0.40072974644403214,1.5110760528248541,20000,-0.21615061101699115,1.8466938772416355,0.93455
