per_side_cost_bps,momentum_sharpe,overlay_sharpe,sharpe_gap_overlay_minus_momentum,momentum_ann_return_arithmetic,overlay_ann_return_arithmetic,ann_return_gap_overlay_minus_momentum,momentum_max_drawdown,overlay_max_drawdown,momentum_avg_turnover,overlay_avg_turnover
0.0,0.7564959588065998,1.0113253905755921,0.2548294317689923,0.07947933639489203,0.08482367038881614,0.0053443339939241025,-0.13637315707505704,-0.07273384252945603,0.40072974644403214,0.4941094619666048
0.5,0.7548733001866863,1.0088450703141651,0.25397177012747885,0.07931102990138553,0.08461614441479018,0.005305114513404652,-0.13656120989710374,-0.0727846789944111,0.40072974644403214,0.4941094619666048
1.0,0.7532507233662025,1.0063647672617464,0.2531140438955439,0.07914272340787903,0.08440861844076421,0.005265895032885173,-0.13674922604865913,-0.07283551407132882,0.40072974644403214,0.4941094619666048
1.5,0.7516282283852578,1.0038844815111356,0.25225625312587785,0.07897441691437256,0.08420109246673822,0.005226675552365667,-0.13693720553604816,-0.07288634776020941,0.40072974644403214,0.4941094619666048
2.0,0.7500058152839468,1.0014042131551282,0.25139839787118134,0.07880611042086606,0.08399356649271224,0.005187456071846175,-0.1371251483655933,-0.07293718006105265,0.40072974644403214,0.4941094619666048
2.5,0.7483834841023509,0.9989239622865143,0.25054047818416336,0.07863780392735957,0.08378604051868628,0.00514823659132671,-0.1373130545436173,-0.07298801097385843,0.40072974644403214,0.4941094619666048
3.0,0.7467612348805371,0.9964437289980765,0.2496824941175394,0.07846949743385309,0.0835785145446603,0.005109017110807204,-0.13750092407644243,-0.07303884049862752,0.40072974644403214,0.4941094619666048
3.5,0.7451390676585588,0.9939635133825947,0.24882444572403595,0.0783011909403466,0.08337098857063434,0.0050697976302877396,-0.13768875697038874,-0.07308966863535904,0.40072974644403214,0.4941094619666048
4.0,0.7435169824764543,0.9914833155328417,0.2479663330563875,0.07813288444684009,0.08316346259660835,0.005030578149768261,-0.13787655323177628,-0.0731404953840532,0.40072974644403214,0.4941094619666048
4.5,0.7418949793742493,0.9890031355415861,0.24710815616733683,0.0779645779533336,0.0829559366225824,0.0049913586692487966,-0.1380643128669239,-0.07319132074471002,0.40072974644403214,0.4941094619666048
5.0,0.7402730583919541,0.9865229735015892,0.24624991510963512,0.0777962714598271,0.08274841064855638,0.00495213918872929,-0.13825203588214785,-0.07324214471732982,0.40072974644403214,0.4941094619666048
5.5,0.7386512195695669,0.9840428295056102,0.24539160993604325,0.07762796496632061,0.08254088467453043,0.004912919708209812,-0.13843972228376666,-0.07329296730191215,0.40072974644403214,0.4941094619666048
6.0,0.7370294629470697,0.9815627036463994,0.2445332406993297,0.07745965847281411,0.08233335870050446,0.004873700227690347,-0.1386273720780954,-0.07334378849845724,0.40072974644403214,0.4941094619666048
6.5,0.7354077885644318,0.9790825960167036,0.24367480745227177,0.0772913519793076,0.0821258327264785,0.004834480747170897,-0.13881498527144964,-0.07339460830696543,0.40072974644403214,0.4941094619666048
7.0,0.7337861964616083,0.9766025067092626,0.24281631024765438,0.07712304548580112,0.0819183067524525,0.004795261266651377,-0.1390025618701427,-0.07344542672743604,0.40072974644403214,0.4941094619666048
7.5,0.7321646866785397,0.974122435816813,0.24195774913827328,0.07695473899229463,0.08171078077842651,0.004756041786131884,-0.13919010188048753,-0.0734962437598694,0.40072974644403214,0.4941094619666048
8.0,0.7305432592551533,0.9716423834320845,0.24109912417693125,0.07678643249878814,0.08150325480440057,0.004716822305612434,-0.13937760530879695,-0.07354705940426554,0.40072974644403214,0.4941094619666048
8.5,0.7289219142313617,0.9691623496478008,0.24024043541643914,0.07661812600528164,0.08129572883037459,0.004677602825092941,-0.13956507216138136,-0.07359787366062442,0.40072974644403214,0.4941094619666048
9.0,0.7273006516470637,0.9666823345566806,0.23938168290961692,0.07644981951177515,0.0810882028563486,0.004638383344573449,-0.13975250244455095,-0.07364868652894607,0.40072974644403214,0.4941094619666048
9.5,0.7256794715421441,0.9642023382514379,0.2385228667092938,0.07628151301826866,0.08088067688232264,0.0045991638640539845,-0.13993989616461588,-0.07369949800923037,0.40072974644403214,0.4941094619666048
10.0,0.7240583739564739,0.9617223608247792,0.23766398686830537,0.07611320652476215,0.08067315090829666,0.004559944383534506,-0.14012725332788378,-0.07375030810147742,0.40072974644403214,0.4941094619666048
10.5,0.7224373589299095,0.9592424023694072,0.2368050434394977,0.07594490003125569,0.08046562493427069,0.004520724903015,-0.1403145739406615,-0.07380111680568746,0.40072974644403214,0.4941094619666048
11.0,0.7208164265022933,0.9567624629780183,0.23594603647572499,0.07577659353774918,0.08025809896024472,0.004481505422495535,-0.14050185800925596,-0.07385192412185981,0.40072974644403214,0.4941094619666048
11.5,0.7191955767134541,0.9542825427433029,0.2350869660298488,0.07560828704424268,0.08005057298621875,0.004442285941976071,-0.14068910553997283,-0.07390273004999537,0.40072974644403214,0.4941094619666048
12.0,0.7175748096032071,0.9518026417579467,0.23422783215473963,0.07543998055073621,0.07984304701219276,0.004403066461456551,-0.14087631653911614,-0.07395353459009324,0.40072974644403214,0.4941094619666048
12.5,0.7159541252113515,0.9493227601146287,0.2333686349032772,0.0752716740572297,0.0796355210381668,0.0043638469809371,-0.14106349101298976,-0.07400433774215398,0.40072974644403214,0.4941094619666048
13.0,0.7143335235776744,0.9468428979060225,0.23250937432834806,0.0751033675637232,0.0794279950641408,0.004324627500417608,-0.1412506289678962,-0.07405513950617781,0.40072974644403214,0.4941094619666048
13.5,0.7127130047419482,0.9443630552247968,0.2316500504828486,0.07493506107021669,0.07922046909011483,0.004285408019898143,-0.14143773041013719,-0.07410593988216385,0.40072974644403214,0.4941094619666048
14.0,0.7110925687439311,0.9418832321636137,0.23079066341968257,0.07476675457671021,0.07901294311608886,0.004246188539378651,-0.14162479534601324,-0.07415673887011298,0.40072974644403214,0.4941094619666048
14.5,0.7094722156233672,0.9394034288151296,0.22993121319176246,0.07459844808320372,0.07880541714206288,0.0042069690588591585,-0.14181182378182378,-0.07420753647002476,0.40072974644403214,0.4941094619666048
15.0,0.7078519454199866,0.9369236452719959,0.22907169985200926,0.07443014158969721,0.07859789116803692,0.004167749578339708,-0.1419988157238683,-0.07425833268189919,0.40072974644403214,0.4941094619666048
15.5,0.7062317581735058,0.9344438816268573,0.2282121234533515,0.0742618350961907,0.07839036519401094,0.004128530097820229,-0.14218577117844444,-0.07430912750573637,0.40072974644403214,0.4941094619666048
16.0,0.7046116539236266,0.9319641379723532,0.22735248404872666,0.07409352860268424,0.07818283921998495,0.004089310617300709,-0.14237269015184928,-0.07435992094153643,0.40072974644403214,0.4941094619666048
16.5,0.7029916327100365,0.9294844144011178,0.22649278169108134,0.07392522210917774,0.077975313245959,0.004050091136781259,-0.14255957265037889,-0.07441071298929902,0.40072974644403214,0.4941094619666048
17.0,0.7013716945724099,0.9270047110057779,0.22563301643336797,0.07375691561567124,0.07776778727193302,0.00401087165626178,-0.14274641868032723,-0.0744615036490246,0.40072974644403214,0.4941094619666048
17.5,0.6997518395504061,0.9245250278789557,0.22477318832854964,0.07358860912216476,0.07756026129790704,0.003971652175742274,-0.1429332282479896,-0.07451229292071282,0.40072974644403214,0.4941094619666048
18.0,0.698132067683671,0.9220453651132681,0.2239132974295971,0.07342030262865827,0.0773527353238811,0.003932432695222823,-0.14312000135965897,-0.0745630808043638,0.40072974644403214,0.4941094619666048
18.5,0.6965123790118362,0.9195657228013239,0.2230533437894877,0.07325199613515178,0.0771452093498551,0.003893213214703317,-0.1433067380216272,-0.07461386729997732,0.40072974644403214,0.4941094619666048
19.0,0.6948927735745192,0.917086101035728,0.2221933274612088,0.0730836896416453,0.07693768337582911,0.003853993734183811,-0.14349343824018546,-0.07466465240755382,0.40072974644403214,0.4941094619666048
19.5,0.693273251411323,0.9146064999090789,0.22133324849775593,0.0729153831481388,0.07673015740180315,0.0038147742536643603,-0.1436801020216243,-0.07471543612709286,0.40072974644403214,0.4941094619666048
20.0,0.6916538125618374,0.9121269195139692,0.22047310695213174,0.0727470766546323,0.07652263142777717,0.003775554773144868,-0.14386672937223266,-0.07476621845859477,0.40072974644403214,0.4941094619666048
20.5,0.6900344570656374,0.9096473599429858,0.21961290287734847,0.07257877016112581,0.07631510545375123,0.0037363352926254173,-0.14405332029829943,-0.07481699940205944,0.40072974644403214,0.4941094619666048
21.0,0.6884151849622838,0.907167821288708,0.21875263632642417,0.07241046366761932,0.07610757947972523,0.003697115812105911,-0.144239874806112,-0.07486777895748686,0.40072974644403214,0.4941094619666048
21.5,0.6867959962913242,0.9046883036437116,0.2178923073523874,0.07224215717411282,0.07590005350569926,0.0036578963315864327,-0.14442639290195713,-0.07491855712487694,0.40072974644403214,0.4941094619666048
22.0,0.6851768910922907,0.902208807100565,0.2170319160082742,0.07207385068060632,0.07569252753167328,0.003618676851066968,-0.1446128745921198,-0.07496933390422988,0.40072974644403214,0.4941094619666048
22.5,0.6835578694047029,0.8997293317518306,0.2161714623471277,0.07190554418709984,0.07548500155764731,0.003579457370547476,-0.14479931988288475,-0.07502010929554548,0.40072974644403214,0.4941094619666048
23.0,0.6819389312680648,0.897249877690065,0.21531094642200022,0.07173723769359333,0.07527747558362133,0.0035402378900279974,-0.14498572878053617,-0.07507088329882372,0.40072974644403214,0.4941094619666048
23.5,0.6803200767218672,0.8947704450078191,0.21445036828595188,0.07156893120008684,0.07506994960959537,0.003501018409508533,-0.14517210129135671,-0.07512165591406483,0.40072974644403214,0.4941094619666048
24.0,0.6787013058055866,0.892291033797637,0.21358972799205034,0.07140062470658033,0.07486242363556939,0.0034617989289890544,-0.14535843742162746,-0.0751724271412686,0.40072974644403214,0.4941094619666048
24.5,0.6770826185586852,0.8898116441520577,0.21272902559337248,0.07123231821307387,0.07465489766154342,0.003422579448469548,-0.14554473717763017,-0.07522319698043534,0.40072974644403214,0.4941094619666048
