date,momentum_net_return,overlay_net_return,increment_net_return,trailing_momentum_vol_shifted,vol_timing_scale,vol_timed_momentum_net_return,vol_timed_minus_momentum,overlay_minus_vol_timed
2022-02-15,0.0137048780340136,0.0460293210239121,0.0323244429898985,,,,,
2022-03-30,0.0030772050655249,0.0002338240995551,-0.0028433809659698,,,,,
2022-05-12,-0.0030911794586615,-0.0022879257285233,0.0008032537301382,,,,,
2022-06-27,-0.0581329793633836,-0.0233538131381526,0.034779166225231,0.008496116246660539,1.5,-0.0871994690450754,-0.0290664896816918,0.0638456559069228
2022-08-09,0.0434584673180724,0.0416690065463384,-0.001789460771734,0.03210668170033803,1.129358366633551,0.049080183666735805,0.0056217163486634025,-0.007411177120397405
2022-09-21,0.0190959544781482,0.0070229698202826,-0.0120729846578656,0.036995730961791484,0.9801117226353951,0.01871616883894492,-0.0003797856392032811,-0.01169319901866232
2022-11-02,-0.0205682638732901,-0.0246203423104244,-0.0040520784371343,0.03401443585323794,1.066016492514174,-0.02192610851131071,-0.001357844638020609,-0.0026942337991136926
2022-12-15,-0.083340693514636,-0.0498491044216341,0.0334915890930018,0.03473121551368682,1.0440161412959421,-0.08700902925607802,-0.0036683357414420276,0.03715992483444392
2023-01-31,-0.0066558576302094,0.0118818969643477,0.0185377545945571,0.04744952220799183,0.7641794461949267,-0.0050862695978056965,0.0015695880324037032,0.016968166562153397
2023-03-15,0.0056791958517326,-0.0017693066493773,-0.0074485025011099,0.04726103329344984,0.767227186464045,0.004357233454703078,-0.0013219623970295215,-0.006126540104080379
2023-04-27,-0.0085510149003107,0.0061465041247281,0.0146975190250388,0.0433587758003221,0.8362770611906369,-0.0071510176110291795,0.0013999972892815207,0.01329752173575728
2023-06-09,-0.0294156285541398,-0.0113892247356893,0.0180264038184504,0.035776229751878136,1.0135207050769106,-0.029813348592472273,-0.0003977200383324733,0.01842412385678297
2023-07-25,0.0461644449945652,0.0429831765510819,-0.0031812684434832,0.03156754435699843,1.148646508358461,0.05302662855331355,0.006862183558748347,-0.010043452002231647
2023-09-06,0.0160602844744017,0.0052163954919034,-0.0108438889824983,0.042722551886813155,0.8487308927421341,0.013630859579651591,-0.0024294248947501085,-0.00841446408774819
2023-10-18,-0.0198735963532418,-0.0158433555176763,0.0040302408355655,0.025743752764589758,1.4084950991679903,-0.02799186306638392,-0.00811826671314212,0.01214850754870762
2023-11-30,0.026903876711383,0.0277851011547175,0.0008812244433344,0.027341621195405393,1.3261814046787526,0.03567942100840589,0.008775544297022889,-0.007894319853688391
2024-01-16,0.0949845132159464,0.0715080348473606,-0.0234764783685858,0.02926809143253682,1.2388901301164972,0.11767537593715599,0.022690862721209584,-0.046167341089795394
2024-02-28,0.0190231698198235,0.0138236996933495,-0.005199470126474,0.0455315795166686,0.7963692449949539,0.015149467386823634,-0.0038737024329998666,-0.0013257676934741343
2024-04-11,0.0040150565493158,-0.0009861129415499,-0.0050011694908657,0.03819494759294665,0.9493389018241014,0.0038116493752891273,-0.00020340717402667248,-0.004797762316839028
2024-05-23,0.0138729868288164,0.0177189073804653,0.0038459205516489,0.03862109041493489,0.9388639526629017,0.013024847249342938,-0.0008481395794734618,0.004694060131122363
2024-07-09,-0.0089476264967546,-0.013962392324493,-0.0050147658277384,0.03871578068786103,0.9365676982070013,-0.00838005795248143,0.0005675685442731691,-0.00558233437201157
2024-08-20,0.0358919505657571,0.030068710199837,-0.0058232403659201,0.03647957045331346,0.9939796207173697,0.035675867410157824,-0.00021608315559927538,-0.005607157210320825
2024-10-02,0.0506900923881696,0.0366720571244433,-0.0140180352637263,0.036758085856808204,0.9864482537085412,0.050003153116634516,-0.0006869392715350836,-0.01333109599219122
2024-11-13,-0.0012957588299012,0.0074059257411337,0.0087016845710349,0.021547415106165074,1.5,-0.0019436382448518,-0.0006478794149506,0.0093495639859855
2024-12-27,0.0677197070329736,0.0695289008613788,0.0018091938284052,0.023100902600806404,1.5,0.10157956054946041,0.03385985351648681,-0.0320506596880816
2025-02-12,-0.0575709737632697,-0.0495441281695386,0.0080268455937311,0.03020206321737202,1.2005785612110302,-0.06911847684822431,-0.011547503084954606,0.01957434867868571
2025-03-27,0.0102681655764063,0.0125356780677646,0.0022675124913582,0.046028587209678985,0.7877702054581476,0.00808895490580387,-0.0021792106706024304,0.004446723161960729
2025-05-09,0.0123988684940647,0.0122893922263925,-0.0001094762676721,0.04472809793108923,0.8106749734581005,0.010051452387336379,-0.0023474161067283204,0.002237939839056121
2025-06-24,-0.0112967158711317,-0.0151597132393808,-0.003862997368249,0.04382759537224205,0.8273314859085814,-0.009346128727550444,0.0019505871435812564,-0.005813584511830356
2025-08-06,0.0076085667298985,0.0050460051620677,-0.0025625615678308,0.04054793235454573,0.8942490405198692,0.006803953497943133,-0.0008046132319553673,-0.001757948335875433
2025-09-18,0.0060913460106044,0.0126539784254449,0.0065626324148404,0.04050591551469894,0.8951766462347686,0.005452830692828384,-0.0006385153177760165,0.007201147732616516
2025-10-30,0.0251304869323581,0.007227951899545,-0.0179025350328131,0.026907787139241177,1.3475634178121285,0.03386492486185152,0.008734437929493417,-0.026636972962306518
2025-12-12,0.0171435498116852,0.0086730796727783,-0.0084704701389068,0.011775401750470774,1.5,0.0257153247175278,0.0085717749058426,-0.0170422450447495
2026-01-28,0.0100446548339608,-0.0096193245284485,-0.0196639793624093,0.012319401621964684,1.5,0.0150669822509412,0.0050223274169804,-0.0246863067793897
2026-03-12,0.083863997973921,0.0690492709950451,-0.0148147269788758,0.012246366741522699,1.5,0.1257959969608815,0.04193199898696051,-0.05674672596583641
