sample,series,n_periods,ann_return,ann_vol,sharpe,max_drawdown
available,momentum,35,0.0777962714598271,0.10509131809932236,0.7402730583919542,-0.13825203588214785
available,route_b_overlay,35,0.08274841064855638,0.08387884810715265,0.9865229735015892,-0.07324214471732982
available,vol_timed_momentum,32,0.10166242509897336,0.13885957402485735,0.7321239879417655,-0.14049130449438763
aligned_vol_control,momentum,32,0.08149580970345567,0.10979178403866374,0.7422760310986157,-0.13693204496670108
aligned_vol_control,route_b_overlay,32,0.07896257905568578,0.0854114666777588,0.9244962313268376,-0.07324214471732993
aligned_vol_control,vol_timed_momentum,32,0.10166242509897336,0.13885957402485735,0.7321239879417655,-0.14049130449438763
