split,signal,lambda,mean_rank_ic,mean_ic,rank_ic_std,ic_std,rank_ic_ir,ic_ir,rank_ic_ir_raw,ic_ir_raw,ic_dates,ic_dates_nonoverlap,periods,mean_period_return_net,ann_return_net,ann_vol_net,sharpe_net,max_drawdown_net,avg_turnover,avg_cost,final_equity_net
val,residual_overlay,0.0,-0.003707093625106907,-0.0019097467232393366,0.049248420304700086,0.02709952462933742,-0.4097342648026743,-0.3894115536640409,-1.1949274016893394,-1.1187018884800717,746,150,150,-0.0005373575867137523,-0.027082822370373114,0.12066455024695097,-0.22444721597785935,-0.2262025051429486,0.23036868686868686,0.00011518434343434345,0.902663207101232
test,residual_overlay,0.0,-0.0005551998632709303,-0.0012214815005136966,0.05613342582692342,0.03318488177720284,0.07268642413881003,-0.23468229809772825,-0.15701027448296961,-0.5843148038962712,1100,220,220,0.001175548089249591,0.05924762369817939,0.09452746845032671,0.6267767948179706,-0.14595981806210656,0.22120966155057062,0.00011060483077528532,1.2699988412690772
val,residual_overlay,0.1,-0.0035997725496697045,-0.0008641709935332878,0.05023216513618956,0.02787625074107077,-0.40418475543581106,-0.18625249546372005,-1.1376100851092013,-0.4921138556859266,746,150,150,-0.000486703122138977,-0.02452983735580444,0.11521782029246497,-0.2128996824738208,-0.21969131433048705,0.29796969696969694,0.00014898484848484847,0.911417376925159
test,residual_overlay,0.1,-0.0005293070434859916,-0.0007737074671101744,0.05749878262388265,0.03454857344158313,0.0808273988362626,-0.1414548556219189,-0.1461333343415261,-0.3555060035499089,1100,220,220,0.0011166285866602162,0.0562780807676749,0.09240852873426884,0.6090139247741932,-0.13395110756516504,0.28271202282565916,0.00014135601141282956,1.2547412687961927
val,residual_overlay,0.2,-0.0034612781328116696,0.00016942916447047602,0.05156521246824279,0.03135424597342358,-0.39257197943578664,0.0018859528012774801,-1.065565025642973,0.0857811923264242,746,150,150,-0.00046393358457690504,-0.023382252662676014,0.11325489942668188,-0.2064568754273327,-0.22124540147827243,0.3503181818181818,0.00017515909090909092,0.9151695352946844
test,residual_overlay,0.2,-0.00031621094869829303,-0.0003271719797451377,0.058952723119965945,0.038655674306767765,0.09460928313359036,-0.05692491820793255,-0.08514777480675388,-0.1343578726573168,1100,220,220,0.0011525830621003448,0.05809018632985738,0.09005453541034789,0.6450556439441401,-0.12064721753680663,0.32337809917355376,0.0001616890495867769,1.265871171349481
val,residual_overlay,0.3,-0.0033797991818768397,0.0011628491417617927,0.0530031263640344,0.03643584885180007,-0.37094065282121735,0.1385918489572533,-1.0122544155227071,0.5066344940362484,746,150,150,-0.0002306497125842353,-0.01162474551424546,0.1097331213205465,-0.10593652467227228,-0.24747083918115742,0.38660101010101006,0.00019330050505050506,0.9488865917607473
test,residual_overlay,0.3,-4.712392268817276e-05,0.00010561362107172411,0.060067801432746724,0.04437859728054834,0.13731715239993844,0.005512590600765552,-0.012453744994038752,0.037778667222495496,1100,220,220,0.0010975572627717142,0.05531688604369439,0.08617726829394427,0.6418964900856534,-0.12613428685794392,0.3554068280204644,0.00017770341401023216,1.2525053768517698
val,residual_overlay,0.5,-0.0030008780743524194,0.002948552035031008,0.05563690568176185,0.04781284495754739,-0.3062945014635286,0.29214919178264137,-0.8562205610247848,0.9789589495277503,746,150,150,-0.0001609825235520949,-0.008113519187025582,0.10446001819635155,-0.07767104895288339,-0.2053751668859055,0.4352474747474747,0.0002176237373737374,0.9604930918199109
test,residual_overlay,0.5,0.0004016735006353594,0.0008927224988713641,0.061315436585078376,0.05702374805781026,0.1963644302094466,0.0797517190343171,0.10399288499893329,0.24851979768532756,1100,220,220,0.0009104767755948856,0.04588802948998223,0.0813575561001835,0.5640291042286446,-0.11055004512296962,0.40154171585989773,0.0002007708579299488,1.2041617533934197
val,residual_overlay,0.7,-0.002533727641073508,0.004406740778069757,0.057903362406688766,0.0580236835946814,-0.24398206903672492,0.36634440850892575,-0.694634606645297,1.2056256482104102,746,150,150,-8.279987734496026e-05,-0.004173113818185997,0.09940042636419286,-0.0419828563194906,-0.18368920664804567,0.4707979797979798,0.0002353989898989899,0.9733127301088284
test,residual_overlay,0.7,0.0009184326109423356,0.0015450094148905522,0.06195802885985938,0.06834236019651473,0.24467462024430017,0.11855258310740086,0.23531519603202453,0.3588735308444145,1100,220,220,0.0009358217861834402,0.047165418023645385,0.07669557730115262,0.6149692026937985,-0.11442194818163753,0.43769529712711525,0.00021884764856355764,1.2128402336800934
val,residual_overlay,1.0,-0.0017586841963400236,0.006012464973462611,0.06056003612765524,0.06949060659028122,-0.12182305000160239,0.42180627251022346,-0.46100114686161925,1.3734938749201677,746,150,150,-2.6781746770396334e-05,-0.0013498000372279752,0.09289039726851506,-0.01453110414967463,-0.1875600036516084,0.5081969696969696,0.00025409848484848484,0.983356100119001
test,residual_overlay,1.0,0.0016898811514274809,0.0022752360595624578,0.06252205855883697,0.0810331242302924,0.3298440774047894,0.1495292040333822,0.4290650731840768,0.4457220805447499,1100,220,220,0.0010225700481652936,0.051537530427530794,0.07231478755118048,0.7126831478325597,-0.11794227613684916,0.480642463597009,0.00024032123179850454,1.2379433799078383
