date,momentum_net_return,overlay_net_return,increment_net_return
2022-01-10,-0.016597439858046445,-0.019868478417396543,-0.003271038559350098
2022-01-18,0.011946410368066845,0.005100438764239805,-0.006845971603827041
2022-01-25,0.017552924445542423,0.005597910289330915,-0.011955014156211509
2022-02-01,-0.001706329601822478,0.003394410861622203,0.005100740463444681
2022-02-08,0.014862739514582087,-0.0057795762412475825,-0.02064231575582967
2022-02-15,0.0029444045518383826,0.0032548443429397814,0.0003104397911013988
2022-02-23,0.017639803547931442,0.017008558488975874,-0.0006312450589555686
2022-03-02,0.012207003959742458,0.006098356573509448,-0.00610864738623301
2022-03-09,-0.017141270781647077,-0.0038547736605008447,0.013286497121146233
2022-03-16,0.00098934360923189,-0.0055551219221317396,-0.0065444655313636295
2022-03-23,-0.007388749542380823,0.0009658822009057711,0.008354631743286595
2022-03-30,0.011893210617339974,0.014092207263094007,0.0021989966457540335
2022-04-06,-0.0005952450528289338,0.004890038952682957,0.005485284005511891
2022-04-13,-0.006298679237654715,-0.0009299176201675887,0.005368761617487126
2022-04-21,0.0015800139463309098,0.003980413153677277,0.002400399207346367
2022-04-28,-0.0004580177997097838,-0.0038685832294550796,-0.0034105654297452957
2022-05-05,-0.0027419080459710316,4.235792087786184e-05,0.0027842659668488937
2022-05-12,-0.011595434190648974,-0.007266262222420086,0.004329171968228888
2022-05-19,0.008324830524126688,0.00015862058942968046,-0.008166209934697008
2022-05-26,0.0012109154358054645,-0.0021546955552968114,-0.003365610991102276
2022-06-03,0.01315283179427638,0.009181097693876785,-0.003971734100399594
2022-06-10,-0.011186880889083399,-0.004892816581870571,0.0062940643072128275
2022-06-17,-0.016376788350307578,-0.013169900129419383,0.0032068882208881946
2022-06-27,-0.010570435581424023,-0.010319349928696953,0.00025108565272707016
2022-07-05,0.016231464532288638,0.002800262309926928,-0.01343120222236171
2022-07-12,-0.022140870633269805,0.004075635644883822,0.026216506278153626
2022-07-19,0.004254811377597578,0.001589836004286101,-0.002664975373311477
2022-07-26,-0.02093381426262133,-0.009378099691506589,0.01155571457111474
2022-08-02,-0.007118360491954919,0.009360188627243042,0.016478549119197963
2022-08-09,0.01421529743490797,0.007831974859309917,-0.006383322575598054
2022-08-16,0.026619655769882785,0.01090429541450558,-0.015715360355377204
2022-08-23,-0.0027141076026540806,0.0022768023151339915,0.004990909917788072
2022-08-30,-0.007525092093149822,-0.0027086439530054724,0.004816448140144349
2022-09-07,-0.003617148265332886,0.005236184409531681,0.008853332674864567
2022-09-14,0.022725889347900045,0.008939828316731888,-0.013786061031168157
2022-09-21,-0.003109083949435842,9.473564010677892e-05,0.003203819589542621
2022-09-28,0.0063416117971593685,-0.008486036470442108,-0.014827648267601476
2022-10-05,0.012881518230654976,0.013917478548757958,0.0010359603181029822
2022-10-12,-0.008690060309001376,-0.013811250153558078,-0.005121189844556702
