regime,start,end,horizon_days,rows,dates,n_rebalance_periods,rank_ic,rank_ic_ir,rank_ic_ir_raw,sharpe_net,ann_return_net,ann_vol_net,max_drawdown_net,avg_turnover,mean_return_t_stat,bootstrap_samples,bootstrap_sharpe_ci_2p5,bootstrap_sharpe_ci_97p5,bootstrap_prob_sharpe_positive
GFC+recovery_2008_2011,2008-01-01,2011-12-31,5,382398,1009,202,-0.004150403080461569,-0.25166800793421,-0.3681580364281058,-0.9483200863488961,-0.1356038060530406,0.14299370856329444,-0.46777264269389074,0.20927467746774675,-1.8985208277816374,10000,-1.8496068401103378,0.007205649431968596,0.0258
QE_lowvol_2012_2016,2012-01-01,2016-12-31,5,512495,1258,252,0.01228940953855001,0.6331688129003755,1.263559157205612,0.32754479326630026,0.023622782534035776,0.07212076949274675,-0.1463919690128621,0.2018608706108706,0.7324124234297184,10000,-0.5448728624636556,1.2357996122107848,0.7764
latecycle_covid_2017_2021,2017-01-01,2021-12-31,5,543216,1259,252,0.008412934571597967,0.3966450174274895,0.6708532115619553,-0.13775100703942947,-0.016072095638085232,0.11667497743480779,-0.2575702821771769,0.22013760049474332,-0.30802061571185635,10000,-0.9375933386176497,0.7974539476050104,0.3784
post2022_holdout_2022_2026,2022-01-01,2026-12-31,5,496970,1111,223,0.02301726270279839,1.0113465873001541,2.010673660293723,0.6189632558997873,0.058627357456757005,0.09471863943023792,-0.14595981806210612,0.22153825247995654,1.3019731607649956,10000,-0.3217521511372977,1.6016733903748217,0.9042
GFC+recovery_2008_2011,2008-01-01,2011-12-31,30,382398,1009,34,-0.02615846195632554,-0.7024417250641373,-2.2462985214286695,-0.9059581125968238,-0.1315004532400172,0.1451506989237951,-0.4430466525076342,0.41927361853832446,-1.822669531631077,10000,-1.6383299219142327,-0.02686819437417734,0.0223
QE_lowvol_2012_2016,2012-01-01,2016-12-31,30,512495,1258,42,0.011898201279029009,0.08940767585229316,1.394601119180635,0.20391312328821334,0.014861160038023291,0.07287986078666663,-0.13284605283630335,0.38196248196248195,0.45596360518299694,10000,-0.6556882280990842,1.2436819105602253,0.6753
latecycle_covid_2017_2021,2017-01-01,2021-12-31,30,543216,1259,42,-0.009328143122603607,-0.04099423443120385,-0.8794493230732412,-0.11925736000474438,-0.012269355428900047,0.1028813268069382,-0.21199907206342405,0.4130488559059987,-0.2666675637903651,10000,-0.8851551216265253,0.9149797398511647,0.4144
post2022_holdout_2022_2026,2022-01-01,2026-12-31,30,485692,1086,37,0.03468740669578664,0.6429457731625268,3.69681379699263,0.6719689981812015,0.06949678517799705,0.10342260634855174,-0.13825203588214796,0.40188077688077684,1.4102965906165439,10000,-0.25032678264746727,1.7183089247815162,0.9292
